Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25
Tracks 1 to 25																																																																											
30	527.5907	32.34271	 	343.76245	126.37022	 	1190.3839	169.89632	 	1102.6715	167.72766	 	33.36961	202.79489	 	741.61194	261.11032	 	232.55359	363.88467	 	489.87405	449.55127	*	615.2913	527.8565	*	488.93262	525.3241	 	259.27118	581.68835	 	132.97375	620.3539	 	387.83942	657.1658	 	356.2147	710.28314	 	1089.7273	755.2919	 	1324.133	772.93976	 	1224.1879	795.9926	 	205.22813	823.42865	 	41.081276	827.8017	 	748.3165	857.9794	 	826.8463	918.7439	 	1313.828	1038.0352	*	78.12804	1033.932	*	1055.9899	1047.7361	 	1312.3462	1040.1769	*
31	528.21606	32.03592	 	344.28738	126.1986	 	1189.511	166.24052	 	1103.3624	166.53581	 	33.707584	202.2525	 	742.3503	261.14816	 	232.21965	362.48843	 	490.34592	449.82327	*	614.87756	527.17914	*	489.73666	524.58514	 	259.04166	581.90784	 	133.04338	619.91534	 	387.76968	657.85614	 	355.72125	709.875	 	1090.8539	755.17694	 	1325.8234	771.6864	 	1224.9111	795.672	 	205.51874	823.2577	 	41.58147	827.53156	 	748.51874	858.4337	 	826.9806	917.96185	 	1313.909	1039.1515	*	78.27825	1032.6674	*	1055.7018	1048.2572	 	1315.3448	1037.2391	 
32	528.1705	33.804546	 	344.34128	126.38197	 	1190.063	167.02544	 	1102.6628	166.68143	 	34.598213	202.47421	 	741.58203	260.9195	 	232.1634	361.99805	 	489.40842	449.73123	*	613.8057	527.36145	*	489.51718	524.42694	 	259.34418	582.2088	 	133.19745	619.73865	 	387.93954	659.49347	 	355.984	709.99854	 	1091.3684	756.00085	 	1325.4692	771.4173	 	1224.7725	795.9881	 	204.9807	824.0513	 	40.82	827.9232	 	748.198	859.2298	 	826.97186	916.79724	 	1313.3677	1038.3529	*	79.3679	1031.6633	*	1056.2878	1047.8375	 	1314.6172	1036.4705	 
33	528.3571	33.956917	 	344.7513	125.55107	 	1190.6823	171.11458	 	1102.4052	166.87213	 	34.318806	202.27376	 	742.7729	260.69043	 	232.46078	360.94608	 	489.26736	449.86557	*	614.6656	527.13995	*	489.7208	525.1838	 	260.2053	583.92194	 	133.149	621.37964	 	388.0528	659.706	 	355.1784	709.65094	 	1090.6798	754.9261	 	1326.1539	772.2393	 	1224.2744	795.4966	 	205.6465	824.3629	 	41.399597	827.2256	 	747.4927	859.5848	 	825.76196	916.69104	 	1312.7153	1037.4231	*	80.03419	1032.0626	*	1056.3918	1048.183	 	1314.3649	1035.5173	 
34	528.6911	34.049488	 	345.05484	125.889435	 	1190.1082	167.88689	 	1102.7173	167.68993	 	34.15107	202.23753	 	742.20325	261.0966	 	233.21317	361.29416	 	489.16718	448.9021	*	612.8118	526.082	*	490.06107	524.767	 	259.83206	583.4011	 	134.11858	621.0043	 	388.1811	659.584	 	356.18085	709.66315	 	1090.2152	755.28937	 	1326.9778	772.29535	 	1224.5623	795.2678	 	204.79654	824.0466	 	41.69542	826.2925	 	747.077	859.5465	 	825.6547	916.34235	 	1314.0161	1037.2903	*	79.73982	1031.6351	*	1056.3856	1048.3542	 	1315.6177	1035.1666	 
35	528.651	34.194508	 	344.91064	126.73072	 	1190.9988	167.86003	 	1102.2163	168.45514	 	33.561077	203.28674	 	741.5212	261.6895	 	233.01205	360.62054	 	487.8525	449.43494	*	612.7536	526.1026	*	489.59653	525.2363	 	259.64694	583.58093	 	133.30057	621.56366	 	388.5079	659.61743	 	356.61206	709.28864	 	1089.9602	755.5042	 	1325.4824	772.78235	 	1224.3175	795.678	 	205.42886	823.97784	 	41.671314	826.6607	 	747.13074	859.5931	 	827.04785	916.7188	 	1313.8572	1037.6285	*	79.108574	1032.9329	*	1056.8102	1049.2239	 	1315.0929	1035.7833	 
36	528.09656	33.43943	 	344.7535	126.97066	 	1191.3187	167.57896	 	1103.019	169.43549	 	32.822315	204.0279	 	742.44025	261.48868	 	232.43799	360.37402	 	488.33133	449.81174	*	611.23425	525.8288	*	489.6441	526.06915	 	260.79764	583.9533	 	133.01831	621.8634	 	387.88562	660.4503	 	357.25568	710.3054	 	1090.8103	754.6939	 	1325.9214	772.8933	 	1224.3207	795.47845	 	205.26172	824.2751	 	42.190105	826.47656	 	747.13416	859.7769	 	826.6798	915.9781	 	1314.0264	1037.7106	*	79.25645	1033.2822	*	1057.2869	1049.162	 	1315.1238	1036	 
37	528.74316	33.457764	 	345.0095	126.43587	 	1191.8042	167.46736	 	1103.3578	169.37537	 	33.36002	203.97533	 	743.4745	261.60907	 	231.8392	360.84506	 	488.76212	449.45456	*	610.94727	525.1695	*	490.25607	525.9094	 	260.32672	584.1522	 	133.4727	622.3937	 	388.35455	660.43506	 	357.39603	710.8732	 	1090.3394	755.14496	 	1325.0931	772.8717	 	1225.321	795.8295	 	206.09409	823.91266	 	42.65831	826.02637	 	747.27435	860.71545	 	825.99207	915.8131	 	1314.3267	1037.8867	*	78.76391	1032.9722	*	1057.3401	1049.0819	 	1315.5096	1036.0237	 
38	528.3936	34.058353	 	345.03503	127.019005	 	1191.7596	168.29858	 	1103.5853	169.05736	 	32.89501	204.06445	 	744.3907	262.0035	 	230.71303	361.70135	 	489.79803	449.2897	*	610.09827	526.0065	*	490.35425	525.8406	 	260.3354	584.03217	 	134.42635	622.8909	 	388.54016	661.2202	 	356.8362	710.42786	 	1089.3457	755.0102	 	1325.814	772.0661	 	1225.208	795.8484	 	206.02902	823.8879	 	42.636604	826.12067	 	747.8192	860.8178	 	826.4871	914.73926	 	1314.3701	1038.3182	*	78.57659	1032.6401	*	1057.0629	1049.048	 	1315.5428	1036.8947	 
39	528.32007	33.708767	 	344.8299	127.68402	 	1192.3026	167.58815	 	1103.9562	169.30994	 	33.168415	204.89244	 	743.7338	262.35324	 	230.66699	360.30566	 	489.68332	449.37726	*	609.76355	525.5571	*	490.42743	526.3099	 	261.18323	584.4416	 	135.03717	623.87866	 	388.34882	661.36475	 	357.42242	710.1753	 	1088.945	753.17694	 	1326.1927	771.74615	 	1225.9445	795.9184	 	206.14589	823.309	 	42.743317	825.32886	 	747.54865	860.5575	 	826.4943	914.81384	 	1314.3784	1038.0946	*	78.86781	1032.2916	*	1057.4865	1049.7148	 	1315.3895	1036.3982	 
