Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23
Tracks 1 to 23																																																																					
31	840.34186	105.4184	 	725.3867	151.69472	*	1087.2468	197.39012	 	28.786617	256.30585	 	650.30164	265.84375	 	1364.3584	303.24277	 	928.0039	319.20667	 	154.82982	369.343	 	404.01425	382.2669	 	604.6692	381.88208	 	990.9193	435.83633	 	461.52283	496.14865	 	359.75922	536.9824	 	762.3688	579.0174	 	900.94257	700.58826	 	1234.9375	719.1342	 	637.3607	760.08075	 	73.938774	838.8611	 	1212.8586	880.1973	 	1319.7174	914.5505	 	731.96906	957.0191	 	822.6929	1028.719	 	1144.6898	1055.3324	 
32	841.35223	105.420784	 	726.6986	150.04774	 	1087.763	197.86076	 	29.528605	256.63388	 	651.3404	263.77042	 	1364.2023	302.62158	 	928.8849	319.59927	 	155.73837	366.93112	 	404.30136	382.44446	 	604.745	382.01398	 	990.2176	435.73712	 	461.02603	495.86047	 	360.18478	536.903	 	762.8112	578.80133	 	901.3938	699.1112	 	1236.1729	718.9524	 	637.96893	759.0722	 	74.47508	837.9473	 	1213.1614	879.2515	 	1319.3844	913.6421	 	732.2766	957.38574	 	822.96484	1028.6476	 	1145.0488	1055.4823	 
33	840.2989	105.335396	 	724.59955	151.10263	 	1087.0948	196.873	 	29.23037	256.01846	 	648.41156	264.46463	 	1363.5431	301.93277	 	928.72	319.6191	 	152.42937	369.28723	 	403.29785	382.5292	 	604.407	381.10223	 	990.3352	435.74692	 	461.09787	495.55594	 	359.85892	537.1069	 	761.9404	579.07764	 	900.1053	699.6106	 	1234.7426	719.9997	 	636.8933	759.09064	 	72.745766	837.3288	 	1212.6053	879.21106	 	1319.2847	914.3554	 	731.6009	957.1648	 	822.03687	1029.6274	 	1143.6798	1055.7849	 
34	841.26465	105.7711	 	728.0292	150.803	 	1088.2714	197.50221	 	30.203789	256.58954	 	650.86725	265.37775	 	1364.8766	302.386	 	928.961	320.4638	 	156.13394	369.65933	 	404.21646	382.52695	 	605.5862	381.83408	 	991.25183	436.61118	 	462.05457	496.0363	 	360.66403	538.1202	 	762.55347	579.01215	 	900.523	700.7328	 	1237.1016	721.0716	 	637.92065	759.7177	 	73.645775	837.7354	 	1213.7886	879.3363	 	1320.3289	914.8236	 	731.85785	957.5938	 	823.3592	1030.7343	 	1144.4337	1055.9832	 
35	840.0157	105.49832	 	725.21716	149.24748	*	1087.5211	197.35936	 	29.304024	255.77414	 	649.0934	263.94052	 	1364.7189	300.98584	 	927.83203	319.40308	 	153.8865	367.32193	 	403.0881	381.5129	 	604.76587	379.68283	 	990.54987	436.12332	 	461.51843	495.48325	 	359.85754	537.63727	 	761.72974	578.96265	 	899.3428	700.05066	 	1235.6262	720.7041	 	636.5739	758.3016	 	73.26901	837.4431	 	1212.916	878.4269	 	1318.7306	914.52386	 	731.5237	957.58673	 	821.9981	1029.7592	 	1143.8662	1055.4955	 
36	840.894	105.62556	 	726.28754	149.8105	 	1088.3286	198.27943	 	28.805094	255.92702	 	648.76904	265.6843	 	1365.4125	301.5531	 	927.6941	320.45862	 	154.23361	369.24722	 	402.83725	382.03558	 	605.19946	380.3514	 	990.8649	435.77466	 	462.4978	495.92755	 	360.1778	538.38464	 	762.2427	578.8514	 	898.4216	700.6102	 	1234.6442	721.0088	 	636.1929	759.2975	 	73.951065	837.0619	 	1213.1676	878.2106	 	1318.7186	915.3138	 	731.66907	957.98096	 	822.4543	1030.7405	 	1144.1158	1055.1538	 
37	840.99945	105.86618	 	727.0262	148.56847	 	1088.831	197.36176	 	29.930876	255.40668	 	649.06525	263.4207	*	1366.757	301.11548	 	928.2692	320.35953	 	156.28064	366.81174	 	402.93802	383.04178	 	604.7185	380.3484	 	991.50226	435.6781	 	462.95135	495.91577	 	361.44873	538.3737	 	761.58136	577.9106	 	900.2136	700.5124	 	1235.4067	719.7765	 	636.2904	758.57166	 	74.757065	837.4062	 	1213.8783	878.33026	 	1319.2947	914.84045	 	732.0188	958.13715	 	822.70087	1030.7107	 	1144.5208	1054.8071	 
38	841.52856	105.23475	 	725.14246	149.0517	 	1087.9976	196.65828	 	29.62128	254.54863	 	646.68774	264.51868	*	1365.7108	300.22906	 	927.67554	320.03772	 	152.26578	367.24088	 	401.87225	382.6443	 	603.7322	380.99277	 	990.8384	434.95398	 	462.06747	495.2568	 	360.73032	537.75195	 	761.21765	577.68866	 	898.2757	699.53406	 	1233.0101	720.3414	 	634.3442	758.094	 	72.63378	837.3538	 	1212.5808	878.48285	 	1317.6411	914.1732	 	731.00867	958.0014	 	821.38403	1029.973	 	1143.6735	1055.2749	 
39	842.60614	105.622406	 	728.2916	149.72928	 	1088.9983	197.40334	 	31.1	255.05043	 	650.6281	265.2003	 	1366.9401	300.3254	 	928.9265	320.70935	 	157.5571	366.88538	 	403.1848	382.44727	 	605.6387	381.54324	 	992.0973	434.92505	 	463.24292	495.39648	 	360.71347	537.9266	 	762.4182	577.90576	 	898.80225	700.10034	 	1235.0161	721.6544	 	636.9889	757.61395	 	73.67998	838.4792	 	1213.9734	878.7683	 	1319.0034	914.36456	 	731.83984	958.1142	 	823.3014	1030.9481	 	1144.9656	1055.4784	 
40	841.28894	105.338745	 	726.70276	148.2178	 	1088.3215	196.63953	 	30.430658	254.49083	 	647.68774	264.19397	 	1366.455	299.71082	 	927.91534	320.4744	 	154.64014	365.91873	 	402.68396	381.09732	 	604.5624	380.95514	 	991.1353	434.28543	 	462.24115	494.9176	 	359.75656	537.3882	 	761.61926	577.4462	 	896.9897	700.0339	 	1233.0792	721.09845	 	635.3834	756.2749	 	72.7414	838.23096	 	1212.9491	877.91986	 	1318.5748	914.3796	 	731.153	957.16425	 	822.2142	1030.9241	 	1143.7133	1055.8729	 
41	841.4667	105.882774	 	726.65564	148.83151	 	1088.9236	197.35881	 	30.704245	254.61475	 	648.79974	265.26086	 	1366.6422	299.97348	 	927.3361	320.29944	 	155.62364	366.69632	 	403.37317	381.29517	 	605.025	381.17297	 	991.7121	435.12396	 	462.70068	494.9922	 	360.17816	537.92786	 	762.29675	577.2315	 	896.6669	700.77655	 	1233.0585	722.21014	 	635.817	756.8835	 	73.53941	838.0113	 	1212.6285	877.92773	 	1319.3804	914.70575	 	731.2473	957.60754	 	822.63495	1032.3171	 	1143.403	1056.1615	 
