Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
36	746.21625	30.666182	 	1108.1184	198.22603	 	798.7297	216.64064	 	1177.7267	273.62637	 	638.23676	284.99408	 	1319.7902	384.5365	 	1201.7266	448.27972	 	975.74854	717.66785	 	741.3721	774.26776	 	645.8872	784.23517	 	838.49426	823.04913	 	175.56871	893.8411	 	670.379	896.7453	 	46.9206	900.77747	 	1264.7599	938.03546	 	526.44806	973.4377	 	823.52893	1038.3391	 
37	745.75336	30.84384	 	1107.4171	198.29443	 	798.5701	217.03734	 	1177.5267	273.80682	 	637.7043	285.48184	 	1319.4918	385.12128	 	1201.6719	448.72488	 	975.17426	718.06714	 	740.5468	774.3458	 	645.3188	784.7808	 	837.7	823.44745	 	174.75874	894.78064	 	669.518	897.26733	 	46.249115	901.65753	 	1264.1549	938.2564	 	526.1087	974.1191	 	822.92163	1038.0137	 
38	746.16626	30.900736	 	1108.1417	198.24658	 	798.8604	216.54349	 	1177.6741	274.16235	 	638.06793	285.26056	 	1319.9186	384.60168	 	1201.5737	448.54453	 	975.0927	717.9702	 	741.1487	774.33167	 	645.9537	784.68256	 	838.3446	823.59845	 	174.88422	894.45233	 	670.26587	897.1458	 	46.3351	901.8295	 	1264.3623	938.504	 	526.56305	974.12683	 	823.2014	1037.9448	 
39	745.8231	30.939672	 	1107.9589	198.65308	 	799.7939	216.615	 	1177.351	273.9021	 	638.08014	285.25497	 	1319.7432	384.57474	 	1201.6584	448.72806	 	975.44977	718.1479	 	741.29144	774.1421	 	644.9122	784.5484	 	838.2794	824.3542	 	174.91667	893.9703	 	670.0652	896.8384	 	46.12818	901.5571	 	1264.385	938.60754	 	526.49854	973.94684	 	823.401	1037.7546	 
40	745.4224	30.940409	 	1108.064	198.84601	 	799.49817	216.63934	 	1177.2728	274.1395	 	637.7297	285.43033	 	1319.3975	384.54474	 	1201.5781	449.3567	 	975.43353	718.5393	 	740.8175	774.14233	 	644.86414	784.5494	 	838.40094	824.34955	 	174.9811	893.9693	 	669.70294	896.7624	 	46.155083	901.4585	 	1264.1373	938.4608	 	526.7627	974.12805	 	823.8688	1037.5443	 
41	745.42615	30.71576	 	1108.1027	198.90298	 	799.3212	215.85236	 	1177.2875	273.34256	 	638.1114	285.12595	 	1319.731	384.02902	 	1201.553	448.5664	 	975.606	718.1795	 	741.3282	773.6318	 	645.12585	783.8207	 	838.95734	823.8545	 	175.57793	893.77515	 	669.7327	896.3918	 	46.95634	901.3962	 	1264.3717	937.8746	 	527.13385	973.94403	 	824.3041	1036.704	 
42	745.1988	30.813145	 	1107.9921	199.3187	 	799.63257	215.82794	 	1176.926	273.3236	 	637.80634	285.2152	 	1319.5094	384.14255	 	1200.5983	448.5961	 	975.01074	718.4038	 	740.5006	773.67584	 	644.20544	783.7289	 	838.8744	823.6702	 	174.93338	893.9855	 	668.99786	896.4737	 	46.76114	901.93555	 	1264.4191	938.1786	 	526.75757	974.4495	 	823.8939	1036.7333	 
43	745.493	30.695778	 	1108.0865	199.11316	 	799.74396	215.44334	 	1177.2649	273.098	 	637.9605	284.95422	 	1320.1348	384.24176	 	1200.5984	448.35718	 	975.31836	718.3103	 	740.42596	773.48755	 	644.3111	783.3838	 	839.2373	823.54803	 	175.16113	893.455	 	669.0116	896.05176	 	46.835506	902.07153	 	1264.6993	937.7672	 	527.08636	974.28284	 	823.8663	1036.2986	 
44	745.35297	30.63786	 	1108.1133	198.62404	 	799.6673	215.69186	 	1176.9023	272.496	 	637.93866	284.89117	 	1320.3701	384.43433	 	1200.5638	448.43677	 	975.0168	718.1042	 	740.1621	773.4126	 	643.873	783.3747	 	839.3127	823.6265	 	175.72112	893.0656	 	668.77203	895.4882	 	47.041138	902.0759	 	1264.4768	937.65173	 	527.02814	974.73285	 	824.0122	1036.2754	 
45	744.9749	30.63159	 	1108.3483	198.94179	 	800.0869	216.10701	 	1176.7657	273.01736	 	637.806	285.11667	 	1320.2435	384.69626	 	1200.3282	448.7819	 	975.3493	718.33124	 	739.95184	773.3897	 	643.4836	783.79724	 	838.832	823.79565	 	175.8751	893.731	 	668.73224	895.7732	 	47.0764	902.354	 	1264.3496	937.97644	 	527.4888	975.0956	 	823.9227	1036.5308	 
